GITM2 log file
## Inputs from UAM.in
# Resart= F
# Eddy coef:    50.000 Eddy P0:     0.010 Eddy P1:     0.005
# Statistical Models Only:  F Apex:  F
# EUV Data:  TFile: 
UA/DataIn/FISM/fismflux_daily_2002.dat                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# E-Field Model: weimer05 Auroral Model: FTA
# AMIE: none           
none                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# Solar Heating:  T Joule Heating:  T
# NO Cooling:  T O Cooling:  T
# Conduction:  T Turbulent Conduction:  T
# Pressure Grad:  T Ion Drag:  T Neutral Drag:  T
# Viscosity:  T Coriolis:  T Gravity:  T
# Ion Chemistry:  T Ion Advection:  T Neutral Chemistry:  T
 
#START
   iStep yyyy mm dd hh mm ss  ms      dt min(T) max(T) mean(T) min(VV) max(VV) mean(VV) F107 F107A By Bz Vx HP HPn HPs HPn_diff HPs_diff HPn_w HPs_w HPn_m HPs_m SubsolarLon SubsolarLat SubsolarVTEC
       2 2002 12 21  0  0  4 105  4.1058    157.61774   1316.94041   1012.01885     -4.34857      5.73571      0.15530    177.9    149.5      6.1     -6.0    531.2     71.9    146.3    146.3 146.25404 146.25404   0.00000   0.00000   0.00000   0.00000   3.14129  -0.40992  58.07374
       3 2002 12 21  0  0  8  38  3.9331    157.65070   1316.75280   1012.14804     -5.92356      4.85711     -0.13441    177.9    149.5      6.2     -6.0    531.0     72.0    146.3    146.3 146.25404 146.25404   0.00000   0.00000   0.00000   0.00000   3.14101  -0.40992  57.96199
       4 2002 12 21  0  0 11 927  3.8884    157.66739   1316.57406   1012.28887     -6.63047      4.60515     -0.30782    177.9    149.5      6.2     -6.0    530.7     72.0    146.3    146.3 146.25404 146.25404   0.00000   0.00000   0.00000   0.00000   3.14073  -0.40992  57.89638
       5 2002 12 21  0  0 15 898  3.9716    157.66509   1316.38816   1012.44032     -7.01870      4.64018     -0.43798    177.9    149.5      6.2     -6.0    530.5     72.0    146.3    146.3 146.25404 146.25404   0.00000   0.00000   0.00000   0.00000   3.14044  -0.40992  57.85588
       6 2002 12 21  0  0 19 880  3.9821    157.65371   1316.21533   1012.59717     -7.27775      4.59934     -0.55991    177.9    149.5      6.3     -6.0    530.2     72.1    146.3    146.3 146.25404 146.25404   0.00000   0.00000   0.00000   0.00000   3.14015  -0.40992  57.80292
       7 2002 12 21  0  0 23 869  3.9888    157.64397   1316.05508   1012.75827     -7.48773      4.56013     -0.67283    177.9    149.5      6.3     -6.0    530.0     72.1    146.3    146.3 146.25404 146.25404   0.00000   0.00000   0.00000   0.00000   3.13986  -0.40992  57.76792
       8 2002 12 21  0  0 27 863  3.9939    157.65039   1315.90922   1012.92260     -7.67920      4.52243     -0.77929    177.9    149.5      6.4     -6.0    529.7     72.2    146.3    146.3 146.25404 146.25404   0.00000   0.00000   0.00000   0.00000   3.13957  -0.40992  57.71314
       9 2002 12 21  0  0 31 861  3.9981    157.67133   1315.77824   1013.08933     -7.86436      4.48828     -0.88132    177.9    149.5      6.4     -6.0    529.5     72.2    146.3    146.3 146.25404 146.25404   0.00000   0.00000   0.00000   0.00000   3.13928  -0.40992  57.67886
      10 2002 12 21  0  0 35 862  4.0009    157.69314   1315.66188   1013.25786     -8.04238      4.45559     -0.98012    177.9    149.5      6.4     -6.0    529.2     72.3    146.3    146.3 146.25404 146.25404   0.00000   0.00000   0.00000   0.00000   3.13898  -0.40992  57.62093
      11 2002 12 21  0  0 39 864  4.0016    157.69664   1315.55916   1013.42755     -8.21460      4.42063     -1.07607    177.9    149.5      6.5     -6.0    529.0     72.3    146.3    146.3 146.25404 146.25404   0.00000   0.00000   0.00000   0.00000   3.13869  -0.40992  57.58720
      12 2002 12 21  0  0 43 865  4.0014    157.69358   1315.47005   1013.59805     -8.38000      4.38411     -1.16813    177.9    149.5      6.5     -6.0    528.7     72.4    146.3    146.3 146.25404 146.25404   0.00000   0.00000   0.00000   0.00000   3.13840  -0.40992  57.52909
      13 2002 12 21  0  0 47 865  4.0002    157.69351   1315.39341   1013.76886     -8.53907      4.35679     -1.25516    177.9    149.5      6.5     -6.0    528.4     72.4    146.3    146.3 146.25404 146.25404   0.00000   0.00000   0.00000   0.00000   3.13811  -0.40992  57.49609
      14 2002 12 21  0  0 51 863  3.9977    157.70559   1315.32663   1013.93970     -8.68974      4.33144     -1.33923    177.9    149.5      6.6     -6.0    528.2     72.5    146.3    146.3 146.25404 146.25404   0.00000   0.00000   0.00000   0.00000   3.13782  -0.40992  57.43745
      15 2002 12 21  0  0 55 857  3.9942    157.72320   1315.26849   1014.11015     -8.83327      4.30617     -1.42165    177.9    149.5      6.6     -6.0    527.9     72.5    146.3    146.3 146.25404 146.25404   0.00000   0.00000   0.00000   0.00000   3.13753  -0.40992  57.40532
      16 2002 12 21  0  0 59 848  3.9903    157.73186   1315.50287   1014.28007     -8.96895      4.27988     -1.50223    177.9    149.5      6.6     -6.0    527.7     72.6    146.3    146.3 146.25404 146.25404   0.00000   0.00000   0.00000   0.00000   3.13724  -0.40992  57.34775
      17 2002 12 21  0  1  3 834  3.9865    157.72898   1316.03964   1014.44915     -9.09726      4.25130     -1.57919    177.9    149.5      6.6     -6.0    527.8     72.5    146.3    146.3 146.25404 146.25404   0.00000   0.00000   0.00000   0.00000   3.13695  -0.40992  57.31672
      18 2002 12 21  0  1  7 817  3.9828    157.72197   1316.56102   1014.61743     -9.22314      4.43326     -1.65163    177.9    149.5      6.6     -6.0    527.9     72.5    149.1    149.1 149.14960 149.14960   0.00000   0.00000   0.00000   0.00000   3.13666  -0.40992  57.25819
      19 2002 12 21  0  1 11 792  3.9754    157.71734   1317.06550   1014.78445     -9.56098      4.77197     -1.72094    177.9    149.5      6.6     -6.0    528.0     72.4    149.1    149.1 149.14960 149.14960   0.00000   0.00000   0.00000   0.00000   3.13637  -0.40992  57.22814
      20 2002 12 21  0  1 15 765  3.9723    157.71719   1317.55402   1014.95031     -9.91871      5.01602     -1.78729    177.9    149.5      6.6     -6.0    528.1     72.4    149.1    149.1 149.14960 149.14960   0.00000   0.00000   0.00000   0.00000   3.13608  -0.40992  57.17055
      21 2002 12 21  0  1 19 734  3.9693    157.72077   1318.02780   1015.11480    -10.27170      5.30103     -1.85051    177.9    149.5      6.6     -6.1    528.3     72.4    149.1    149.1 149.14960 149.14960   0.00000   0.00000   0.00000   0.00000   3.13579  -0.40992  57.14194
      22 2002 12 21  0  1 23 700  3.9665    157.72027   1318.48784   1015.27790    -10.61373      5.72310     -1.90926    177.9    149.5      6.6     -6.1    528.4     72.3    149.1    149.1 149.14960 149.14960   0.00000   0.00000   0.00000   0.00000   3.13551  -0.40992  57.08325
      23 2002 12 21  0  1 27 665  3.9642    157.70866   1318.93492   1015.43946    -10.94183      6.03587     -1.96369    177.9    149.5      6.5     -6.1    528.5     72.3    149.1    149.1 149.14960 149.14960   0.00000   0.00000   0.00000   0.00000   3.13522  -0.40992  57.05612
      24 2002 12 21  0  1 31 627  3.9625    157.69184   1319.36972   1015.59953    -11.26136      6.29209     -2.01401    177.9    149.5      6.5     -6.1    528.6     72.2    149.1    149.1 149.14960 149.14960   0.00000   0.00000   0.00000   0.00000   3.13493  -0.40992  56.99763
      25 2002 12 21  0  1 35 588  3.9614    157.68184   1319.79655   1015.75796    -11.58000      6.81519     -2.06023    177.9    149.5      6.5     -6.1    528.8     72.2    149.1    149.1 149.14960 149.14960   0.00000   0.00000   0.00000   0.00000   3.13464  -0.40992  56.97221
      26 2002 12 21  0  1 39 549  3.9606    157.68164   1320.21686   1015.91480    -11.89983      7.22734     -2.10219    177.9    149.5      6.5     -6.1    528.9     72.1    149.1    149.1 149.14960 149.14960   0.00000   0.00000   0.00000   0.00000   3.13435  -0.40992  56.91185
      27 2002 12 21  0  1 43 509  3.9600    157.68290   1320.62946   1016.06989    -12.21647      7.45902     -2.13960    177.9    149.5      6.5     -6.1    529.0     72.1    149.1    149.1 149.14960 149.14960   0.00000   0.00000   0.00000   0.00000   3.13407  -0.40992  56.88806
      28 2002 12 21  0  1 47 469  3.9596    157.67754   1321.03483   1016.22331    -12.53712      8.05441     -2.17194    177.9    149.5      6.5     -6.1    529.1     72.0    149.1    149.1 149.14960 149.14960   0.00000   0.00000   0.00000   0.00000   3.13378  -0.40992  56.82783
      29 2002 12 21  0  1 51 428  3.9594    157.66226   1321.43333   1016.37492    -12.92207      8.63356     -2.19870    177.9    149.5      6.5     -6.1    529.2     72.0    149.1    149.1 149.14960 149.14960   0.00000   0.00000   0.00000   0.00000   3.13349  -0.40992  56.80567
      30 2002 12 21  0  1 55 388  3.9596    157.64819   1321.82505   1016.52479    -13.29959      9.03858     -2.22032    177.9    149.5      6.5     -6.1    529.4     72.0    149.1    149.1 149.14960 149.14960   0.00000   0.00000   0.00000   0.00000   3.13320  -0.40992  56.74442
