GITM2 log file
## Inputs from UAM.in
# Resart= T
# Eddy coef:    50.000 Eddy P0:     0.010 Eddy P1:     0.005
# Statistical Models Only:  F Apex:  F
# EUV Data:  TFile: 
UA/DataIn/FISM/fismflux_daily_2002.dat                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# E-Field Model: weimer05 Auroral Model: FTA
# AMIE: none           
none                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# Solar Heating:  T Joule Heating:  T
# NO Cooling:  T O Cooling:  T
# Conduction:  T Turbulent Conduction:  T
# Pressure Grad:  T Ion Drag:  T Neutral Drag:  T
# Viscosity:  T Coriolis:  T Gravity:  T
# Ion Chemistry:  T Ion Advection:  T Neutral Chemistry:  T
 
#START
   iStep yyyy mm dd hh mm ss  ms      dt min(T) max(T) mean(T) min(VV) max(VV) mean(VV) F107 F107A By Bz Vx HP HPn HPs HPn_diff HPs_diff HPn_w HPs_w HPn_m HPs_m SubsolarLon SubsolarLat SubsolarVTEC
     154 2002 12 21  0 10  3 961  3.9613    157.65409   1376.14842   1030.06310    -20.68422     64.61580      1.63799    177.8    149.5      6.6     -5.5    527.2     73.8    273.4    273.4 273.36622 273.36622   0.00000   0.00000   0.00000   0.00000   3.09767  -0.40992  53.52300
     155 2002 12 21  0 10  8  61  4.1003    157.65434   1375.92194   1030.02092    -20.77274     62.89033      1.53657    177.8    149.5      6.6     -5.4    526.9     73.9    151.9    151.9 151.86632 151.86632   0.00000   0.00000   0.00000   0.00000   3.09737  -0.40992  53.52748
     156 2002 12 21  0 10 11 874  3.8131    157.65489   1375.76468   1029.98223    -20.70656     61.28323      1.38484    177.8    149.5      6.6     -5.3    526.6     74.0    151.9    151.9 151.86632 151.86632   0.00000   0.00000   0.00000   0.00000   3.09710  -0.40992  53.52249
     157 2002 12 21  0 10 15 804  3.9301    157.65476   1375.59320   1029.94600    -20.51515     59.69049      1.29512    177.8    149.5      6.6     -5.3    526.3     74.1    151.9    151.9 151.86632 151.86632   0.00000   0.00000   0.00000   0.00000   3.09681  -0.40992  53.52557
     158 2002 12 21  0 10 19 746  3.9412    157.65491   1375.44839   1029.91100    -20.57437     58.12117      1.19149    177.8    149.5      6.6     -5.2    526.0     74.1    151.9    151.9 151.86632 151.86632   0.00000   0.00000   0.00000   0.00000   3.09652  -0.40992  53.50907
     159 2002 12 21  0 10 23 699  3.9539    157.65544   1375.32216   1029.87790    -20.71290     56.58310      1.09050    177.8    149.5      6.6     -5.1    525.7     74.2    151.9    151.9 151.86632 151.86632   0.00000   0.00000   0.00000   0.00000   3.09624  -0.40992  53.51347
     160 2002 12 21  0 10 27 662  3.9624    157.65593   1375.21510   1029.84689    -20.72545     55.07885      0.99170    177.8    149.5      6.6     -5.0    525.4     74.3    151.9    151.9 151.86632 151.86632   0.00000   0.00000   0.00000   0.00000   3.09595  -0.40992  53.47696
     161 2002 12 21  0 10 31 630  3.9679    157.65605   1375.12753   1029.81817    -20.61553     53.61069      0.89518    177.8    149.5      6.5     -4.9    525.1     74.3    151.9    151.9 151.86632 151.86632   0.00000   0.00000   0.00000   0.00000   3.09566  -0.40992  53.47891
     162 2002 12 21  0 10 35 601  3.9709    157.65605   1375.06007   1029.79193    -20.49384     52.18025      0.80135    177.8    149.5      6.5     -4.9    524.9     74.4    151.9    151.9 151.86632 151.86632   0.00000   0.00000   0.00000   0.00000   3.09537  -0.40992  53.44763
     163 2002 12 21  0 10 39 573  3.9724    157.65606   1375.01292   1029.76831    -20.61116     50.78857      0.71069    177.8    149.5      6.5     -4.8    524.6     74.5    151.9    151.9 151.86632 151.86632   0.00000   0.00000   0.00000   0.00000   3.09508  -0.40992  53.45178
